Array,timeQSort,timeQSelect,timeRMedian,RMedianSuccess
37,0.9686000347137451,0.08796977996826172,0.03659701347351074,549
38,0.9644351005554199,0.06294012069702148,0.04044699668884277,550
39,1.0144593715667725,0.08600974082946777,0.03490614891052246,550
40,0.980525016784668,0.04741501808166504,0.0356600284576416,549
41,0.9540209770202637,0.047187089920043945,0.03392601013183594,550
42,0.9620537757873535,0.05589413642883301,0.03640007972717285,547
43,0.9972617626190186,0.0623018741607666,0.03603982925415039,548
44,0.9613409042358398,0.06085395812988281,0.034451961517333984,548
45,0.9206428527832031,0.06468391418457031,0.033550262451171875,550
46,0.8938932418823242,0.05381894111633301,0.03565526008605957,548
47,0.9875032901763916,0.06697416305541992,0.037081003189086914,548
48,0.9521310329437256,0.08670711517333984,0.036934852600097656,548
49,0.9845776557922363,0.05700993537902832,0.046658992767333984,547
50,0.9497239589691162,0.06662869453430176,0.035585880279541016,549
51,0.938654899597168,0.09697198867797852,0.037049055099487305,548
52,0.9403567314147949,0.07223916053771973,0.0366358757019043,550
53,0.926973819732666,0.12506699562072754,0.036756038665771484,548
54,0.9300570487976074,0.05109715461730957,0.03717613220214844,552
55,0.9448850154876709,0.07200217247009277,0.03751707077026367,549
56,1.0063471794128418,0.041599273681640625,0.03635597229003906,547
57,0.9643428325653076,0.08309030532836914,0.03597903251647949,548
58,0.9620327949523926,0.06955289840698242,0.03694295883178711,550
59,0.9557828903198242,0.04033803939819336,0.03333020210266113,550
60,1.0514087677001953,0.08063793182373047,0.04047083854675293,547
61,1.0185391902923584,0.06995987892150879,0.03606390953063965,551
62,0.9545998573303223,0.09020090103149414,0.04137897491455078,550
63,0.9911050796508789,0.0791480541229248,0.039214134216308594,545
64,0.9825081825256348,0.03344893455505371,0.03426480293273926,549
65,0.9266440868377686,0.03661704063415527,0.035284996032714844,550
66,0.9416711330413818,0.034548044204711914,0.03787803649902344,551
67,0.9809749126434326,0.07658505439758301,0.034893035888671875,548
68,1.0025057792663574,0.10104203224182129,0.035388946533203125,549
69,0.9384169578552246,0.05134391784667969,0.034812211990356445,549
70,0.9674103260040283,0.061402082443237305,0.0341951847076416,551
71,0.9703407287597656,0.0808248519897461,0.034171104431152344,551
72,0.9438490867614746,0.048393964767456055,0.03644227981567383,547
73,0.9236810207366943,0.058380126953125,0.033882856369018555,550
74,0.9319300651550293,0.04509782791137695,0.03394579887390137,549
75,0.941809892654419,0.05521988868713379,0.0360560417175293,547
